strain	sv_type	type_total_length
ECA1851	DEL	3284338
ECA1851	INS	7109423
ECA1851	INV	1049103
ECA1889	DEL	2033889
ECA1889	INS	5613102
ECA1889	INV	501207
ECA191	DEL	2975342
ECA191	INS	5929562
ECA191	INV	426339
ECA1943	DEL	2205583
ECA1943	INS	5467613
ECA1943	INV	324333
ECA1997	DEL	2952480
ECA1997	INS	7166339
ECA1997	INV	662688
ECA2081	DEL	2864669
ECA2081	INS	7102923
ECA2081	INV	561853
ECA2109	DEL	3314678
ECA2109	INS	7947480
ECA2109	INV	961890
ECA2111	INS	5994789
ECA2111	DEL	1906136
ECA2111	INV	637132
ECA2151	DEL	2878947
ECA2151	INS	6445928
ECA2151	INV	674132
ECA2187	DEL	3271029
ECA2187	INS	7406334
ECA2187	INV	821931
ECA2199	DEL	3387497
ECA2199	INS	8479864
ECA2199	INV	705765
ECA2281	DEL	3308974
ECA2281	INS	7214923
ECA2281	INV	701780
ECA2336	DEL	3157972
ECA2336	INS	7559068
ECA2336	INV	738218
ECA2367	INS	8628062
ECA2367	DEL	3032945
ECA2367	INV	572631
ECA2377	DEL	2176139
ECA2377	INS	6637806
ECA2377	INV	494281
ECA2417	DEL	2819481
ECA2417	INS	7015176
ECA2417	INV	869759
ECA2452	DEL	2165706
ECA2452	INS	6998615
ECA2452	INV	686571
ECA2473	DEL	2948026
ECA2473	INS	6887766
ECA2473	INV	523291
ECA248	DEL	1389319
ECA248	INS	4452557
ECA248	INV	361798
ECA250	DEL	1232250
ECA250	INS	4320401
ECA250	INV	413802
ECA251	INS	4480017
ECA251	DEL	1242397
ECA251	INV	390753
ECA2529	INS	4950034
ECA2529	DEL	1400998
ECA2529	INV	688595
ECA2555	DEL	1392678
ECA2555	INS	5101364
ECA2555	INV	456376
ECA2561	DEL	1988308
ECA2561	INS	5368080
ECA2561	INV	449233
ECA2565	DEL	638489
ECA2565	INS	4295111
ECA2565	INV	381628
ECA2581	DEL	2391997
ECA2581	INS	6185758
ECA2581	INV	363779
ECA259	DEL	1540519
ECA259	INS	3901842
ECA259	INV	444124
ECA2607	INS	4491619
ECA2607	DEL	894309
ECA2607	INV	313714
ECA2676	DEL	1611135
ECA2676	INS	4564413
ECA2676	INV	401970
ECA2948	DEL	2978118
ECA2948	INS	6236107
ECA2948	INV	643266
ECA2952	DEL	3333689
ECA2952	INS	7784831
ECA2952	INV	995194
ECA2968	DEL	2002729
ECA2968	INS	5575272
ECA2968	INV	991067
ECA3005	DEL	3109669
ECA3005	INS	7172338
ECA3005	INV	983921
ECA3012	DEL	3037452
ECA3012	INS	6547435
ECA3012	INV	787653
ECA3025	INS	6988651
ECA3025	DEL	2733956
ECA3025	INV	647457
ECA3035	DEL	2076416
ECA3035	INS	6024332
ECA3035	INV	642513
ECA3088	DEL	3581682
ECA3088	INS	8237546
ECA3088	INV	709348
ECA347	INS	6746854
ECA347	DEL	2907026
ECA347	INV	694631
ECA369	DEL	2526359
ECA369	INS	5411442
ECA369	INV	462754
ECA36	DEL	3152471
ECA36	INS	6658866
ECA36	INV	572045
ECA594	INS	5239853
ECA594	DEL	1913812
ECA594	INV	442707
ECA701	DEL	3020478
ECA701	INS	5944818
ECA701	INV	722308
ECA703	INS	5942790
ECA703	DEL	2335567
ECA703	INV	626216
ECA706	INS	6108229
ECA706	DEL	2292469
ECA706	INV	439656
ECA722	DEL	3101315
ECA722	INS	6563777
ECA722	INV	735915
ECA723	DEL	3028602
ECA723	INS	6396112
ECA723	INV	751812
ECA730	DEL	2806778
ECA730	INS	6888803
ECA730	INV	752022
ECA738	INS	3537101
ECA738	DEL	1939692
ECA738	INV	674758
ECA741	DEL	3068803
ECA741	INS	6367634
ECA741	INV	666511
ECA742	DEL	3145577
ECA742	INS	7267415
ECA742	INV	751446
ECA768	INS	5955590
ECA768	DEL	2171277
ECA768	INV	518100
ECA923	DEL	1723028
ECA923	INS	4580846
ECA923	INV	441397
ED3017	INS	3992444
ED3017	DEL	1186045
ED3017	INV	372383
ED3049	DEL	1444561
ED3049	INS	4959048
ED3049	INV	349611
ED3073	INS	3187393
ED3073	DEL	1277691
ED3073	INV	382470
EG4725	INS	4856805
EG4725	DEL	1817576
EG4725	INV	400253
JT11398	DEL	1014481
JT11398	INS	3035120
JT11398	INV	394419
JU1400	DEL	1545216
JU1400	INS	4555271
JU1400	INV	431149
JU1409	DEL	1191793
JU1409	INS	3636311
JU1409	INV	471294
JU1581	DEL	1410718
JU1581	INS	3020557
JU1581	INV	329242
JU2001	DEL	1757645
JU2001	INS	4741797
JU2001	INV	304390
JU2526	INS	4875131
JU2526	DEL	2298522
JU2526	INV	392264
JU258	INS	2973925
JU258	DEL	1877025
JU258	INV	289193
JU2600	INS	4456893
JU2600	DEL	1378875
JU2600	INV	353202
JU2829	DEL	1448941
JU2829	INS	4765429
JU2829	INV	571522
JU2841	DEL	1345668
JU2841	INS	4298785
JU2841	INV	400563
JU310	DEL	1178677
JU310	INS	3709463
JU310	INV	400525
JU311	DEL	1003627
JU311	INS	4622090
JU311	INV	338299
JU3128	INS	4239312
JU3128	DEL	1129678
JU3128	INV	430349
JU3166	DEL	1870269
JU3166	INS	4664192
JU3166	INV	447112
JU3226	DEL	3077071
JU3226	INS	6418484
JU3226	INV	1172181
JU3282	INS	4738633
JU3282	DEL	1130778
JU3282	INV	354955
JU346	DEL	1938417
JU346	INS	4918544
JU346	INV	490541
JU394	INS	4021953
JU394	DEL	752077
JU394	INV	392910
JU440	INS	3734117
JU440	DEL	898815
JU440	INV	354430
JU775	DEL	1885787
JU775	INS	4639758
JU775	INV	420348
JU782	DEL	1952889
JU782	INS	5333066
JU782	INV	475000
LKC34	DEL	1350415
LKC34	INS	3801736
LKC34	INV	445525
MY10	DEL	1666420
MY10	INS	4193180
MY10	INV	375248
MY16	DEL	1558260
MY16	INS	4052913
MY16	INV	469482
MY1	DEL	1467623
MY1	INS	4258491
MY1	INV	341118
MY2147	INS	2323981
MY2147	DEL	1203287
MY2147	INV	391705
MY2212	DEL	1274711
MY2212	INS	4958325
MY2212	INV	352108
MY23	DEL	2031764
MY23	INS	4232678
MY23	INV	401805
MY2693	DEL	1107408
MY2693	INS	3088176
MY2693	INV	327301
NIC1119	DEL	1492787
NIC1119	INS	4335239
NIC1119	INV	404251
NIC1775	DEL	1122410
NIC1775	INS	4045419
NIC1775	INV	450600
NIC1790	DEL	2087764
NIC1790	INS	5175222
NIC1790	INV	367717
NIC1792	DEL	1832666
NIC1792	INS	5135896
NIC1792	INV	442187
NIC1810	DEL	1895333
NIC1810	INS	4372172
NIC1810	INV	373097
NIC195	DEL	1895201
NIC195	INS	5205846
NIC195	INV	411630
NIC199	DEL	2095640
NIC199	INS	5086174
NIC199	INV	445543
NIC1	INS	3737085
NIC1	DEL	1067917
NIC1	INV	390692
NIC259	INS	4663678
NIC259	DEL	1363589
NIC259	INV	389710
NIC2	INS	2463687
NIC2	DEL	484527
NIC2	INV	355541
NIC526	INS	3895185
NIC526	DEL	1289155
NIC526	INV	484769
PX179	INS	3697641
PX179	DEL	757099
PX179	INV	381371
QG4018	DEL	1106873
QG4018	INS	3839904
QG4018	INV	399360
QG4021	DEL	1358884
QG4021	INS	3059667
QG4021	INV	642325
QX1791	INS	4574811
QX1791	DEL	2173777
QX1791	INV	283947
QX1794	DEL	2079427
QX1794	INS	3326913
QX1794	INV	579441
RC301	DEL	1024096
RC301	INS	4401627
RC301	INV	340918
TWN2530	DEL	1348832
TWN2530	INS	4713983
TWN2530	INV	397402
WN2001	DEL	1612486
WN2001	INS	4032422
WN2001	INV	379227
WN2082	DEL	1070786
WN2082	INS	4584141
WN2082	INV	354864
WN2117	INS	4265414
WN2117	DEL	1300667
WN2117	INV	364153
XZ1513	DEL	2044552
XZ1513	INS	5104280
XZ1513	INV	481179
XZ1515	DEL	1993140
XZ1515	INS	5844744
XZ1515	INV	945591
XZ1516	DEL	3368345
XZ1516	INS	5856076
XZ1516	INV	797876
