strain	sv_type	type_total_length
AB1	INS	4379319
AB1	DEL	976533
AB1	INV	339807
CB4852	INS	3717928
CB4852	DEL	842293
CB4852	INV	307096
CB4856	DEL	2246508
CB4856	INS	5174110
CB4856	INV	480054
CGC1	INS	4019184
CGC1	DEL	165502
CGC1	INV	360388
CX11254	DEL	1319552
CX11254	INS	5202088
CX11254	INV	331375
CX11264	DEL	1579520
CX11264	INS	5702184
CX11264	INV	352588
CX11314	DEL	1450874
CX11314	INS	3909509
CX11314	INV	352062
DL238	INS	5734117
DL238	DEL	2250587
DL238	INV	512031
ECA1185	INS	5669720
ECA1185	DEL	3140438
ECA1185	INV	635619
ECA1186	DEL	2194454
ECA1186	INS	6138775
ECA1186	INV	380694
ECA1187	DEL	3082737
ECA1187	INS	5293359
ECA1187	INV	655058
ECA1195	INS	5633603
ECA1195	DEL	3030611
ECA1195	INV	645637
ECA1202	DEL	2776985
ECA1202	INS	5525586
ECA1202	INV	626787
ECA1208	DEL	2895660
ECA1208	INS	5951750
ECA1208	INV	873909
ECA1228	DEL	2991681
ECA1228	INS	6971143
ECA1228	INV	665211
ECA1237	DEL	3035045
ECA1237	INS	5330137
ECA1237	INV	761214
ECA1243	INS	5693305
ECA1243	DEL	2249597
ECA1243	INV	313657
ECA1255	DEL	2020343
ECA1255	INS	5178005
ECA1255	INV	539748
ECA1260	DEL	2125604
ECA1260	INS	6967139
ECA1260	INV	392462
ECA1286	DEL	2997962
ECA1286	INS	6649102
ECA1286	INV	546363
ECA1287	DEL	2750702
ECA1287	INS	8004073
ECA1287	INV	661496
ECA1409	DEL	2869188
ECA1409	INS	6290704
ECA1409	INV	633763
ECA1413	DEL	1880590
ECA1413	INS	5231532
ECA1413	INV	1100687
ECA1493	DEL	3577590
ECA1493	INS	7877969
ECA1493	INV	517069
ECA1693	INS	6505618
ECA1693	DEL	2581154
ECA1693	INV	843347
ECA1725	DEL	3091183
ECA1725	INS	6611355
ECA1725	INV	709494
ECA1751	DEL	2685868
ECA1751	INS	6357539
ECA1751	INV	622664
ECA1757	DEL	2167712
ECA1757	INS	5334374
ECA1757	INV	463746
ECA1761	DEL	3020281
ECA1761	INS	5756989
ECA1761	INV	925401
ECA1769	DEL	2939232
ECA1769	INS	5578954
ECA1769	INV	899085
ECA1825	DEL	2780245
ECA1825	INS	6828171
ECA1825	INV	632283
ECA1843	INS	6720276
ECA1843	DEL	3090606
ECA1843	INV	678246
