isotype	lat	long	geo	collection_island_Hawaii
ECA1793	22.135156	-159.64897	Hawaii	Kauai
ECA1805	20.82693	-156.27724	Hawaii	Maui
ECA1807	19.120128	-155.81958	Hawaii	Big Island
ECA1815	20.826071	-156.27737	Hawaii	Maui
ECA1821	20.669708	-156.33743	Hawaii	Maui
ECA1825	22.133714	-159.65054	Hawaii	Kauai
ECA1843	20.729436	-156.31102	Hawaii	Maui
ECA1851	22.134589	-159.64946	Hawaii	Kauai
ECA1853	20.826691	-156.27707	Hawaii	Maui
ECA1875	20.826612	-156.2769	Hawaii	Maui
ECA1885	22.134589	-159.64946	Hawaii	Kauai
ECA1887	20.837057	-156.28086	Hawaii	Maui
ECA1889	20.837057	-156.28086	Hawaii	Maui
ECA189	19.423889	-155.2225	Hawaii	Big Island
ECA1891	19.120367	-155.81956	Hawaii	Big Island
ECA1901	20.837038	-156.28091	Hawaii	Maui
ECA191	19.424167	-155.221944	Hawaii	Big Island
ECA1919	20.826518	-156.27704	Hawaii	Maui
ECA1925	22.134164	-159.64984	Hawaii	Kauai
ECA1937	19.120128	-155.81958	Hawaii	Big Island
ECA1939	19.120128	-155.81958	Hawaii	Big Island
ECA1943	19.120128	-155.81958	Hawaii	Big Island
ECA1969	19.719961	-155.94817	Hawaii	Big Island
ECA1977	19.120025	-155.81961	Hawaii	Big Island
ECA1997	19.720117	-155.94871	Hawaii	Big Island
ECA2041	20.837056	-156.28088	Hawaii	Maui
ECA2043	20.670209	-156.33692	Hawaii	Maui
ECA2073	19.718619	-155.94865	Hawaii	Big Island
ECA2081	19.719672	-155.94858	Hawaii	Big Island
ECA2091	22.146997	-159.66341	Hawaii	Kauai
ECA2109	22.133228	-159.65126	Hawaii	Kauai
ECA2111	22.133228	-159.65126	Hawaii	Kauai
ECA2151	22.135358	-159.64829	Hawaii	Kauai
ECA2155	22.135492	-159.64781	Hawaii	Kauai
ECA2159	22.135492	-159.64781	Hawaii	Kauai
ECA2183	22.135483	-159.64808	Hawaii	Kauai
ECA2187	22.135483	-159.64808	Hawaii	Kauai
ECA2191	22.147283	-159.66203	Hawaii	Kauai
ECA2195	22.149092	-159.66649	Hawaii	Kauai
ECA2199	22.149092	-159.66649	Hawaii	Kauai
ECA2251	19.72178889	-155.9473389	Hawaii	Big Island
ECA2281	22.132297	-159.65173	Hawaii	Kauai
ECA2291	20.813036	-156.26958	Hawaii	Maui
ECA2332	20.826718	-156.27902	Hawaii	Maui
ECA2334	22.133356	-159.65109	Hawaii	Kauai
ECA2336	22.134086	-159.65033	Hawaii	Kauai
ECA2344	20.82662	-156.27684	Hawaii	Maui
ECA2350	20.82662	-156.27684	Hawaii	Maui
ECA2360	20.727403	-156.30736	Hawaii	Maui
ECA2367	20.72333333	-156.3045271	Hawaii	Maui
ECA2377	19.114519	-155.82031	Hawaii	Big Island
ECA2417	19.719706	-155.94864	Hawaii	Big Island
ECA2437	19.719953	-155.94858	Hawaii	Big Island
ECA2443	19.720022	-155.9484	Hawaii	Big Island
ECA2452	19.119975	-155.81961	Hawaii	Big Island
ECA2467	19.114675	-155.82014	Hawaii	Big Island
ECA2473	19.721806	-155.94736	Hawaii	Big Island
ECA2475	20.041372	-155.44355	Hawaii	Big Island
ECA2481	19.120458	-155.81953	Hawaii	Big Island
ECA2482	19.721806	-155.94736	Hawaii	Big Island
ECA2489	19.721789	-155.94734	Hawaii	Big Island
ECA2861	20.0403085	-155.4424281	Hawaii	Big Island
ECA2862	20.0398375	-155.4414636	Hawaii	Big Island
ECA2872	20.0398784	-155.4415633	Hawaii	Big Island
ECA2882	19.442681	-155.3016294	Hawaii	Big Island
ECA2885	20.0399357	-155.4409035	Hawaii	Big Island
ECA2888	20.0399357	-155.4409035	Hawaii	Big Island
ECA2897	19.4422725	-155.3016723	Hawaii	Big Island
ECA2929	22.1326107	-159.6516852	Hawaii	Kauai
ECA2941	22.133915	-159.6504496	Hawaii	Kauai
ECA2942	22.1329535	-159.6459715	Hawaii	Kauai
ECA2944	22.1313576	-159.6459345	Hawaii	Kauai
ECA2945	22.1330097	-159.6515086	Hawaii	Kauai
ECA2946	22.1330097	-159.6515086	Hawaii	Kauai
ECA2947	22.1324357	-159.646279	Hawaii	Kauai
