strain	Gene set	ws_class_count_inHDR	prop_genes_inHDRs_class	prop_total_ws_genes_inHDRs	gene_set_prop_inHDR	ws_class_count	ws_class_outsideHDRs	prop_genes_OUTSIDEhdrs_class	scaling_factor	gene_set_prop_OUTSIDEHDR	saling_factor_OUTSIDE	scaled_geneSet_props	scaled_geneSet_props_NONHDR	scaled_geneSet_props_HDR
AB1	Accessory	267	0.0350072112232857	0.0185217773867136	0.0816451701133599	7627	7360	0.964992788776714	12.248121947833	2.91835482988664	0.342658812341488	0.42877259211635	0.330663282920329	0.42877259211635
AB1	Core	151	0.0100525930364157	0.0185217773867136	0.0816451701133599	15021	14870	0.989947406963584	12.248121947833	2.91835482988664	0.342658812341488	0.123125385401956	0.339214202750677	0.123125385401956
AB1	Private	3	0.0365853658536585	0.0185217773867136	0.0816451701133599	82	79	0.963414634146341	12.248121947833	2.91835482988664	0.342658812341488	0.448102022481694	0.330122514328994	0.448102022481694
CB4852	Accessory	184	0.0245989304812834	0.0111731843575419	0.0418873013972884	7480	7296	0.975401069518717	23.8735837984716	2.95811269860271	0.338053381290158	0.587264628197697	0.329737629664838	0.587264628197697
CB4852	Core	67	0.00446785809549213	0.0111731843575419	0.0418873013972884	14996	14929	0.995532141904508	23.8735837984716	2.95811269860271	0.338053381290158	0.106663784642411	0.336543006753852	0.106663784642411
CB4852	Private	1	0.0128205128205128	0.0111731843575419	0.0418873013972884	78	77	0.987179487179487	23.8735837984716	2.95811269860271	0.338053381290158	0.306071587159892	0.33371936358131	0.306071587159892
CB4856	Accessory	1122	0.154651964162646	0.0673639980331679	0.369818018952852	7255	6133	0.845348035837354	2.7040326559304	2.63018198104715	0.380201829077193	0.418183961399575	0.321402869432174	0.418183961399575
CB4856	Core	364	0.0242569638811142	0.0673639980331679	0.369818018952852	15006	14642	0.975743036118886	2.7040326559304	2.63018198104715	0.380201829077193	0.0655916224682572	0.370979287041734	0.0655916224682572
CB4856	Private	21	0.190909090909091	0.0673639980331679	0.369818018952852	110	89	0.809090909090909	2.7040326559304	2.63018198104715	0.380201829077193	0.516224416132168	0.307617843526092	0.516224416132168
CX11254	Accessory	658	0.0883340045643711	0.0381814952939087	0.115620213989153	7449	6791	0.911665995435629	8.64900665288353	2.88437978601085	0.346694982696096	0.76400139315309	0.316070026512175	0.76400139315309
CX11254	Core	201	0.0133973205358928	0.0381814952939087	0.115620213989153	15003	14802	0.986602679464107	8.64900665288353	2.88437978601085	0.346694982696096	0.11587351444575	0.342050198884731	0.11587351444575
CX11254	Private	1	0.0138888888888889	0.0381814952939087	0.115620213989153	72	71	0.986111111111111	8.64900665288353	2.88437978601085	0.346694982696096	0.12012509240116	0.341879774603095	0.12012509240116
