strain	Gene set	ws_class_count_inHDR	prop_genes_inHDRs_class	prop_total_ws_genes_inHDRs	gene_set_prop_inHDR	ws_class_count	ws_class_outsideHDRs	prop_genes_OUTSIDEhdrs_class	scaling_factor	gene_set_prop_OUTSIDEHDR	saling_factor_OUTSIDE	scaled_geneSet_props	scaled_geneSet_props_NONHDR	scaled_geneSet_props_HDR
CX11264	Accessory	735	0.0980784627702162	0.0434378320935175	0.215001005012718	7494	6759	0.901921537229784	4.65114104904228	2.78499899498728	0.359066556864078	0.456176764217518	0.323849860934655	0.456176764217518
CX11264	Core	237	0.0157989467368842	0.0434378320935175	0.215001005012718	15001	14764	0.984201053263116	4.65114104904228	2.78499899498728	0.359066556864078	0.0734831296995548	0.353393683457186	0.0734831296995548
CX11264	Private	9	0.101123595505618	0.0434378320935175	0.215001005012718	89	80	0.898876404494382	4.65114104904228	2.78499899498728	0.359066556864078	0.470340106082927	0.32275645560816	0.470340106082927
CX11314	Core	183	0.0121991867208853	0.0392984307002506	0.198532118558117	15001	14818	0.987800813279115	5.03696836190898	2.80146788144188	0.356955725469646	0.0614469175541193	0.352601155923553	0.0614469175541193
CX11314	Accessory	704	0.0917383372426375	0.0392984307002506	0.198532118558117	7674	6970	0.908261662757363	5.03696836190898	2.80146788144188	0.356955725469646	0.462083102265301	0.324209200745821	0.462083102265301
CX11314	Private	7	0.0945945945945946	0.0392984307002506	0.198532118558117	74	67	0.905405405405405	5.03696836190898	2.80146788144188	0.356955725469646	0.476469980180579	0.323189643330626	0.476469980180579
DL238	Accessory	906	0.120574926803301	0.0610336920091727	0.276980317816778	7514	6608	0.879425073196699	3.61036483704773	2.72301968218322	0.367239358034399	0.43531947596024	0.32295949932011	0.43531947596024
DL238	Core	459	0.0305775764439411	0.0610336920091727	0.276980317816778	15011	14552	0.969422423556059	3.61036483704773	2.72301968218322	0.367239358034399	0.110396206795344	0.356010068490878	0.110396206795344
DL238	Private	19	0.125827814569536	0.0610336920091727	0.276980317816778	151	132	0.874172185430464	3.61036483704773	2.72301968218322	0.367239358034399	0.454284317244416	0.321030432189011	0.454284317244416
ECA1185	Accessory	1342	0.177513227513228	0.101871468926554	0.380387457796595	7560	6218	0.822486772486772	2.62889845472963	2.6196125422034	0.381735842186372	0.466664249503592	0.313972680782389	0.466664249503592
ECA1185	Core	948	0.0633393465624374	0.101871468926554	0.380387457796595	14967	14019	0.936660653437563	2.62889845472963	2.6196125422034	0.381735842186372	0.166512710301576	0.357556943382826	0.166512710301576
ECA1185	Private	18	0.13953488372093	0.101871468926554	0.380387457796595	129	111	0.86046511627907	2.62889845472963	2.6196125422034	0.381735842186372	0.366823040194832	0.328470375834785	0.366823040194832
ECA1186	Accessory	551	0.0742587601078167	0.0334841227603335	0.136633810087825	7420	6869	0.925741239892183	7.31883272051936	2.86336618991217	0.349239298669889	0.543487443262287	0.323305221369739	0.543487443262287
ECA1186	Core	198	0.0131947221111555	0.0334841227603335	0.136633810087825	15006	14808	0.986805277888844	7.31883272051936	2.86336618991217	0.349239298669889	0.0965699639252855	0.344631183173645	0.0965699639252855
ECA1186	Private	6	0.0491803278688525	0.0334841227603335	0.136633810087825	122	116	0.950819672131147	7.31883272051936	2.86336618991217	0.349239298669889	0.359942592812428	0.332063595456616	0.359942592812428
ECA1187	Accessory	1139	0.153214958299704	0.0891875110874579	0.400081875040343	7434	6295	0.846785041700296	2.49948838571896	2.59991812495966	0.384627496689157	0.382959008788524	0.325696810823008	0.382959008788524
ECA1187	Core	844	0.0563907262644485	0.0891875110874579	0.400081875040343	14967	14123	0.943609273735552	2.49948838571896	2.59991812495966	0.384627496689157	0.140947965360246	0.362938072809579	0.140947965360246
ECA1187	Private	28	0.19047619047619	0.0891875110874579	0.400081875040343	147	119	0.80952380952381	2.49948838571896	2.59991812495966	0.384627496689157	0.47609302585123	0.311365116367413	0.47609302585123
ECA1195	Private	12	0.109090909090909	0.0701684749051777	0.272152863002608	110	98	0.890909090909091	3.6744055857697	2.72784713699739	0.366589456732068	0.400844245720331	0.326597879634024	0.400844245720331
ECA1195	Accessory	886	0.116794094384392	0.0701684749051777	0.272152863002608	7586	6700	0.883205905615608	3.6744055857697	2.72784713699739	0.366589456732068	0.429148872790925	0.323773973122179	0.429148872790925
ECA1195	Core	693	0.0462678595273067	0.0701684749051777	0.272152863002608	14978	14285	0.953732140472693	3.6744055857697	2.72784713699739	0.366589456732068	0.170006881488744	0.349628147243797	0.170006881488744
ECA1202	Core	635	0.0423220474540123	0.0784575058865343	0.413576175866581	15004	14369	0.957677952545988	2.41793424852064	2.58642382413342	0.386634236303112	0.102331928006572	0.370271083806946	0.102331928006572
ECA1202	Accessory	1093	0.149031906190346	0.0784575058865343	0.413576175866581	7334	6241	0.850968093809654	2.41793424852064	2.58642382413342	0.386634236303112	0.360349350099953	0.329013399068411	0.360349350099953
ECA1202	Private	38	0.222222222222222	0.0784575058865343	0.413576175866581	171	133	0.777777777777778	2.41793424852064	2.58642382413342	0.386634236303112	0.537318721893475	0.300715517124643	0.537318721893475
ECA1208	Core	695	0.0463518740829665	0.0803610939021152	0.349834544690167	14994	14299	0.953648125917034	2.85849415152999	2.65016545530983	0.377334931295106	0.132496560978614	0.359844750072611	0.132496560978614
ECA1208	Accessory	1096	0.1472326706072	0.0803610939021152	0.349834544690167	7444	6348	0.8527673293928	2.85849415152999	2.65016545530983	0.377334931295106	0.420863727844824	0.321778901647143	0.420863727844824
ECA1208	Private	25	0.15625	0.0803610939021152	0.349834544690167	160	135	0.84375	2.85849415152999	2.65016545530983	0.377334931295106	0.446639711176561	0.318376348280246	0.446639711176561
ECA1228	Core	722	0.0481525943710818	0.0854407836153161	0.391136494494927	14994	14272	0.951847405628918	2.5566522533043	2.60886350550507	0.383308669805782	0.123109438901274	0.364851362909706	0.123109438901274
ECA1228	Accessory	1171	0.159885308574549	0.0854407836153161	0.391136494494927	7324	6153	0.840114691425451	2.5566522533043	2.60886350550507	0.383308669805782	0.408771134437375	0.322023244854585	0.408771134437375
ECA1228	Private	26	0.183098591549296	0.0854407836153161	0.391136494494927	142	116	0.816901408450704	2.5566522533043	2.60886350550507	0.383308669805782	0.468119426661351	0.31312539223571	0.468119426661351
ECA1237	Accessory	1153	0.153019243530192	0.0833957773174064	0.307633519302428	7535	6382	0.846980756469808	3.25062107103135	2.69236648069757	0.371420461207386	0.497407577292521	0.314585983201797	0.497407577292521
ECA1237	Core	724	0.0482312970488309	0.0833957773174064	0.307633519302428	15011	14287	0.951768702951169	3.25062107103135	2.69236648069757	0.371420461207386	0.156781670470102	0.353506370612879	0.156781670470102
ECA1237	Private	15	0.106382978723404	0.0833957773174064	0.307633519302428	141	126	0.893617021276596	3.25062107103135	2.69236648069757	0.371420461207386	0.345810752237377	0.331907646185324	0.345810752237377
ECA1243	Accessory	961	0.129445043103448	0.0599397056215641	0.236130625250095	7424	6463	0.870554956896552	4.23494410748653	2.7638693747499	0.361811599757853	0.548192522534288	0.31497688163187	0.548192522534288
ECA1243	Core	381	0.0253847691385169	0.0599397056215641	0.236130625250095	15009	14628	0.974615230861483	4.23494410748653	2.7638693747499	0.361811599757853	0.107503078483068	0.352627095826362	0.107503078483068
ECA1243	Private	10	0.0813008130081301	0.0599397056215641	0.236130625250095	123	113	0.91869918699187	4.23494410748653	2.7638693747499	0.361811599757853	0.344304398982644	0.332396022541767	0.344304398982644
ECA1255	Accessory	861	0.114647137150466	0.0524545172856447	0.259037260607256	7510	6649	0.885352862849534	3.86044848395833	2.74096273939274	0.36483531338392	0.442589366802679	0.323007989173061	0.442589366802679
ECA1255	Core	314	0.0209333333333333	0.0524545172856447	0.259037260607256	15000	14686	0.979066666666667	3.86044848395833	2.74096273939274	0.36483531338392	0.080812054930861	0.357198094157083	0.080812054930861
ECA1255	Private	10	0.123456790123457	0.0524545172856447	0.259037260607256	81	71	0.876543209876543	3.86044848395833	2.74096273939274	0.36483531338392	0.47659857826646	0.319793916669856	0.47659857826646
ECA1260	Core	469	0.0312666666666667	0.0683588621444201	0.376125580493335	15000	14531	0.968733333333333	2.65868649159245	2.62387441950666	0.381115800575554	0.0831282643037906	0.369199579877559	0.0831282643037906
ECA1260	Accessory	1063	0.137962362102531	0.0683588621444201	0.376125580493335	7705	6642	0.862037637897469	2.65868649159245	2.62387441950666	0.381115800575554	0.366798668470185	0.328536164493554	0.366798668470185
ECA1260	Private	30	0.206896551724138	0.0683588621444201	0.376125580493335	145	115	0.793103448275862	2.65868649159245	2.62387441950666	0.381115800575554	0.550073067226024	0.302264255628888	0.550073067226024
ECA1286	Accessory	1259	0.170227149810708	0.0912591281256915	0.432350428305506	7396	6137	0.829772850189291	2.31293861305807	2.56764957169449	0.389461245422233	0.393724947788009	0.323164367652277	0.393724947788009
ECA1286	Core	762	0.0507830723092303	0.0912591281256915	0.432350428305506	15005	14243	0.94921692769077	2.31293861305807	2.56764957169449	0.389461245422233	0.117458128833739	0.369683206834313	0.117458128833739
ECA1286	Private	41	0.211340206185567	0.0912591281256915	0.432350428305506	194	153	0.788659793814433	2.31293861305807	2.56764957169449	0.389461245422233	0.488816923378252	0.30715242551341	0.488816923378252
ECA1287	Core	649	0.043324432576769	0.083036303630363	0.349036401584382	14980	14331	0.956675567423231	2.86503068293363	2.65096359841562	0.377221324577094	0.124125828653133	0.360878424733935	0.124125828653133
ECA1287	Accessory	1215	0.160142348754448	0.083036303630363	0.349036401584382	7587	6372	0.839857651245552	2.86503068293363	2.65096359841562	0.377221324577094	0.458812742818554	0.316812215659054	0.458812742818554
ECA1287	Private	23	0.145569620253165	0.083036303630363	0.349036401584382	158	135	0.854430379746835	2.86503068293363	2.65096359841562	0.377221324577094	0.417061428528314	0.322309359607011	0.417061428528314
ECA1409	Accessory	1489	0.196308503625577	0.104594200979743	0.39183171290929	7585	6096	0.803691496374423	2.55211604128505	2.60816828709071	0.383410842371469	0.5010020811435	0.308144033631704	0.5010020811435
ECA1409	Core	870	0.0580232092837135	0.104594200979743	0.39183171290929	14994	14124	0.941976790716286	2.55211604128505	2.60816828709071	0.383410842371469	0.148081963179805	0.361164114822904	0.148081963179805
ECA1409	Private	11	0.1375	0.104594200979743	0.39183171290929	80	69	0.8625	2.55211604128505	2.60816828709071	0.383410842371469	0.350915955676695	0.330691851545392	0.350915955676695
ECA1413	Accessory	758	0.0996188723879616	0.0470318830368152	0.199349524455233	7609	6851	0.900381127612038	5.01631495100237	2.80065047554477	0.357059907593605	0.499719638961729	0.32149000222418	0.499719638961729
ECA1413	Core	303	0.0201851975218173	0.0470318830368152	0.199349524455233	15011	14708	0.979814802478183	5.01631495100237	2.80065047554477	0.357059907593605	0.101255308117628	0.349852582831706	0.101255308117628
ECA1413	Private	7	0.0795454545454545	0.0470318830368152	0.199349524455233	88	81	0.920454545454545	5.01631495100237	2.80065047554477	0.357059907593605	0.399025052920643	0.328657414944114	0.399025052920643
ECA1493	Accessory	2460	0.331849453662485	0.191146704215436	0.838675114597963	7413	4953	0.668150546337515	1.19235682875767	2.16132488540204	0.46267916811312	0.395682962193965	0.309139338953768	0.395682962193965
ECA1493	Private	112	0.388888888888889	0.191146704215436	0.838675114597963	288	176	0.611111111111111	1.19235682875767	2.16132488540204	0.46267916811312	0.463694322294648	0.282748380513574	0.463694322294648
ECA1493	Core	1772	0.117936772046589	0.191146704215436	0.838675114597963	15025	13253	0.882063227953411	1.19235682875767	2.16132488540204	0.46267916811312	0.140622715511387	0.408112280532658	0.140622715511387
ECA1693	Accessory	1110	0.147665292004789	0.074694111930739	0.374572230378865	7517	6407	0.852334707995211	2.66971205790814	2.62542776962113	0.380890311122254	0.394223810599712	0.324646032108592	0.394223810599712
ECA1693	Core	559	0.0372517659602826	0.074694111930739	0.374572230378865	15006	14447	0.962748234039717	2.66971205790814	2.62542776962113	0.380890311122254	0.0994514887625382	0.366701474395789	0.0994514887625382
ECA1693	Private	22	0.189655172413793	0.074694111930739	0.374572230378865	116	94	0.810344827586207	2.66971205790814	2.62542776962113	0.380890311122254	0.50632470063775	0.30865249349562	0.50632470063775
ECA1725	Accessory	1854	0.242988204456094	0.133606088601469	0.485943710535398	7630	5776	0.757011795543906	2.05785151308622	2.5140562894646	0.397763568059553	0.500033644202077	0.301111712858713	0.500033644202077
ECA1725	Core	1162	0.0776011753706424	0.133606088601469	0.485943710535398	14974	13812	0.922398824629358	2.05785151308622	2.5140562894646	0.397763568059553	0.159691696153745	0.366896647658511	0.159691696153745
ECA1725	Private	21	0.165354330708661	0.133606088601469	0.485943710535398	127	106	0.834645669291339	2.05785151308622	2.5140562894646	0.397763568059553	0.340274659644178	0.331991639482776	0.340274659644178
ECA1751	Accessory	1017	0.135889898450027	0.0763941262588173	0.319727616284039	7484	6467	0.864110101549973	3.12766226334238	2.68027238371596	0.373096408438007	0.425017707351576	0.322396375383296	0.425017707351576
ECA1751	Core	694	0.0463377178340122	0.0763941262588173	0.319727616284039	14977	14283	0.953662282165988	3.12766226334238	2.68027238371596	0.373096408438007	0.144928731438847	0.355807972338923	0.144928731438847
ECA1751	Private	11	0.1375	0.0763941262588173	0.319727616284039	80	69	0.8625	3.12766226334238	2.68027238371596	0.373096408438007	0.430053561209577	0.321795652277781	0.430053561209577
ECA1757	Accessory	871	0.116319444444444	0.0538447924962393	0.219638347763348	7488	6617	0.883680555555556	4.55293900260743	2.78036165223665	0.359665441075104	0.529595335372739	0.317829356783382	0.529595335372739
ECA1757	Core	338	0.0225108225108225	0.0538447924962393	0.219638347763348	15015	14677	0.977489177489178	4.55293900260743	2.78036165223665	0.359665441075104	0.102490401790297	0.351569076167785	0.102490401790297
ECA1757	Private	8	0.0808080808080808	0.0538447924962393	0.219638347763348	99	91	0.919191919191919	4.55293900260743	2.78036165223665	0.359665441075104	0.367914262836964	0.330601567048833	0.367914262836964
ECA1761	Accessory	1799	0.228241563055062	0.130872774641772	0.680144099770683	7882	6083	0.771758436944938	1.47027666686686	2.31985590022932	0.431061256822525	0.335578244569079	0.332675161792872	0.335578244569079
ECA1761	Core	1152	0.0769025367156208	0.130872774641772	0.680144099770683	14980	13828	0.923097463284379	1.47027666686686	2.31985590022932	0.431061256822525	0.113068005355849	0.397911552693049	0.113068005355849
ECA1761	Private	63	0.375	0.130872774641772	0.680144099770683	168	105	0.625	1.47027666686686	2.31985590022932	0.431061256822525	0.551353750075072	0.269413285514078	0.551353750075072
ECA1769	Accessory	1692	0.220628504368236	0.119530322353666	0.534754394964715	7669	5977	0.779371495631764	1.87001735640898	2.46524560503529	0.405639096549849	0.412579132487156	0.316143549364774	0.412579132487156
ECA1769	Core	1005	0.0670670670670671	0.119530322353666	0.534754394964715	14985	13980	0.932932932932933	1.87001735640898	2.46524560503529	0.405639096549849	0.125416579458861	0.378434072056516	0.125416579458861
ECA1769	Private	21	0.247058823529412	0.119530322353666	0.534754394964715	85	64	0.752941176470588	1.87001735640898	2.46524560503529	0.405639096549849	0.462004288053984	0.30542237857871	0.462004288053984
ECA1825	Accessory	1272	0.162743091095189	0.0915609969392217	0.317073484038253	7816	6544	0.837256908904811	3.15384303746874	2.68292651596175	0.372727316253584	0.513266164746704	0.312068520670861	0.513266164746704
ECA1825	Core	813	0.0543303929430634	0.0915609969392217	0.317073484038253	14964	14151	0.945669607056937	3.15384303746874	2.68292651596175	0.372727316253584	0.171349531506421	0.352476894700913	0.171349531506421
ECA1825	Private	9	0.1	0.0915609969392217	0.317073484038253	90	81	0.9	3.15384303746874	2.68292651596175	0.372727316253584	0.315384303746874	0.335454584628225	0.315384303746874
ECA1843	Core	933	0.0622705733164253	0.10056482216927	0.492080887187951	14983	14050	0.937729426683575	2.0321862239247	2.50791911281205	0.398736942866842	0.126545401249533	0.373907364832085	0.126545401249533
ECA1843	Accessory	1305	0.173560313871525	0.10056482216927	0.492080887187951	7519	6214	0.826439686128475	2.0321862239247	2.50791911281205	0.398736942866842	0.352706878869762	0.329532033910701	0.352706878869762
ECA1843	Private	41	0.25625	0.10056482216927	0.492080887187951	160	119	0.74375	2.0321862239247	2.50791911281205	0.398736942866842	0.520747719880705	0.296560601257214	0.520747719880705
ECA1851	Accessory	2435	0.31154042988741	0.17755991285403	0.78261338817495	7816	5381	0.68845957011259	1.27777011626647	2.21738661182505	0.450981346539716	0.398077051318942	0.31048242396753	0.398077051318942
ECA1851	Core	1583	0.105688342902924	0.17755991285403	0.78261338817495	14978	13395	0.894311657097076	1.27777011626647	2.21738661182505	0.450981346539716	0.13504540619908	0.403317875343804	0.13504540619908
ECA1851	Private	57	0.365384615384615	0.17755991285403	0.78261338817495	156	99	0.634615384615385	1.27777011626647	2.21738661182505	0.450981346539716	0.466877542481978	0.286199700688666	0.466877542481978
ECA1889	Accessory	844	0.112743788405023	0.0526432107496464	0.238492690015993	7486	6642	0.887256211594977	4.1930006321491	2.76150730998401	0.36212107655286	0.472734776053145	0.321294174520985	0.472734776053145
ECA1889	Core	335	0.0223006257489016	0.0526432107496464	0.238492690015993	15022	14687	0.977699374251098	4.1930006321491	2.76150730998401	0.36212107655286	0.093506537862465	0.354045549948865	0.093506537862465
ECA1889	Private	12	0.103448275862069	0.0526432107496464	0.238492690015993	116	104	0.896551724137931	4.1930006321491	2.76150730998401	0.36212107655286	0.43375868608439	0.32466027553015	0.43375868608439
ECA191	Core	719	0.0479397252967062	0.0880074786324786	0.47164188621206	14998	14279	0.952060274703294	2.12025273673505	2.52835811378794	0.395513592218872	0.101644333758668	0.376552779256786	0.101644333758668
ECA191	Accessory	1221	0.16675771647091	0.0880074786324786	0.47164188621206	7322	6101	0.83324228352909	2.12025273673505	2.52835811378794	0.395513592218872	0.353568504719133	0.329558648747247	0.353568504719133
ECA191	Private	37	0.256944444444444	0.0880074786324786	0.47164188621206	144	107	0.743055555555556	2.12025273673505	2.52835811378794	0.395513592218872	0.544787161522199	0.293888571995968	0.544787161522199
ECA1943	Core	358	0.0238364737998535	0.0625790414722428	0.227559628233908	15019	14661	0.976163526200146	4.39445260023057	2.77244037176609	0.360693059509512	0.104748254270094	0.352095408846724	0.104748254270094
ECA1943	Accessory	1070	0.137056487767388	0.0625790414722428	0.227559628233908	7807	6737	0.862943512232612	4.39445260023057	2.77244037176609	0.360693059509512	0.602288239047868	0.311257735611065	0.602288239047868
ECA1943	Private	7	0.0666666666666667	0.0625790414722428	0.227559628233908	105	98	0.933333333333333	4.39445260023057	2.77244037176609	0.360693059509512	0.292963506682038	0.336646855542211	0.292963506682038
ECA1997	Accessory	1235	0.165372254954472	0.0886725663716814	0.294695551388469	7468	6233	0.834627745045528	3.39333252669903	2.70530444861153	0.369644163529631	0.561163051750577	0.308515274675977	0.561163051750577
ECA1997	Core	759	0.0505831389536821	0.0886725663716814	0.294695551388469	15005	14246	0.949416861046318	3.39333252669903	2.70530444861153	0.369644163529631	0.171645410714066	0.350946401442394	0.171645410714066
ECA1997	Private	10	0.078740157480315	0.0886725663716814	0.294695551388469	127	117	0.921259842519685	3.39333252669903	2.70530444861153	0.369644163529631	0.267191537535357	0.340538323881629	0.267191537535357
ECA2081	Accessory	1176	0.156925540432346	0.0844391365888181	0.308138574351545	7494	6318	0.843074459567654	3.24529313509166	2.69186142564846	0.371490148219315	0.509269379085641	0.313193855944706	0.509269379085641
ECA2081	Core	720	0.0480384307445957	0.0844391365888181	0.308138574351545	14988	14268	0.951961569255404	3.24529313509166	2.69186142564846	0.371490148219315	0.155898789516013	0.353644344461781	0.155898789516013
ECA2081	Private	13	0.103174603174603	0.0844391365888181	0.308138574351545	126	113	0.896825396825397	3.24529313509166	2.69186142564846	0.371490148219315	0.334831831398346	0.333161799593512	0.334831831398346
ECA2109	Accessory	2423	0.306243680485339	0.177108276372502	0.628358574281242	7912	5489	0.693756319514661	1.59144800585218	2.37164142571876	0.421648900696249	0.487370894613224	0.292521589474433	0.487370894613224
ECA2109	Core	1626	0.108631747728487	0.177108276372502	0.628358574281242	14968	13342	0.891368252271513	1.59144800585218	2.37164142571876	0.421648900696249	0.172881778294738	0.37584444368582	0.172881778294738
ECA2109	Private	19	0.213483146067416	0.177108276372502	0.628358574281242	89	70	0.786516853932584	1.59144800585218	2.37164142571876	0.421648900696249	0.339747327092038	0.331633966839747	0.339747327092038
ECA2111	Core	213	0.0141914851089346	0.0374589266155531	0.192928646415965	15009	14796	0.985808514891065	5.18326344260948	2.80707135358404	0.356243170920188	0.0735582059614777	0.351187551264914	0.0735582059614777
ECA2111	Accessory	633	0.081962967758643	0.0374589266155531	0.192928646415965	7723	7090	0.918037032241357	5.18326344260948	2.80707135358404	0.356243170920188	0.424835654431154	0.32704442338782	0.424835654431154
ECA2111	Private	9	0.0967741935483871	0.0374589266155531	0.192928646415965	93	84	0.903225806451613	5.18326344260948	2.80707135358404	0.356243170920188	0.501606139607369	0.321768025347266	0.501606139607369
ECA2151	Private	23	0.144654088050314	0.105270132968149	0.398664693258821	159	136	0.855345911949686	2.50837362051216	2.60133530674118	0.384417955427957	0.362846498564652	0.328810326655359	0.362846498564652
ECA2151	Accessory	1442	0.192806524936489	0.105270132968149	0.398664693258821	7479	6037	0.807193475063511	2.50837362051216	2.60133530674118	0.384417955427957	0.483630801013309	0.310299665318702	0.483630801013309
ECA2151	Core	918	0.0612040802720181	0.105270132968149	0.398664693258821	14999	14081	0.938795919727982	2.50837362051216	2.60133530674118	0.384417955427957	0.153522700422039	0.360890008025939	0.153522700422039
ECA2187	Accessory	2249	0.287964148527529	0.16141715084531	0.521878221575234	7810	5561	0.712035851472471	1.91615583609066	2.47812177842477	0.403531419927093	0.551784183785902	0.287328838183683	0.551784183785902
ECA2187	Core	1433	0.0956162007072796	0.16141715084531	0.521878221575234	14987	13554	0.90438379929272	1.91615583609066	2.47812177842477	0.403531419927093	0.18321554101007	0.364947278687651	0.18321554101007
ECA2187	Private	13	0.138297872340426	0.16141715084531	0.521878221575234	94	81	0.861702127659574	1.91615583609066	2.47812177842477	0.403531419927093	0.265000275204028	0.347723883128666	0.265000275204028
ECA2199	Accessory	2332	0.31663272233537	0.182124567776951	0.7650778074824	7365	5033	0.68336727766463	1.30705660289722	2.2349221925176	0.447442869979074	0.413856890421768	0.305767815968049	0.413856890421768
ECA2199	Core	1686	0.111974496911735	0.182124567776951	0.7650778074824	15057	13371	0.888025503088265	1.30705660289722	2.2349221925176	0.447442869979074	0.146357005544578	0.397340679716424	0.146357005544578
ECA2199	Private	143	0.336470588235294	0.182124567776951	0.7650778074824	425	282	0.663529411764706	1.30705660289722	2.2349221925176	0.447442869979074	0.439786104033654	0.296891504315527	0.439786104033654
ECA2281	Core	1624	0.108425691013486	0.175010883761428	0.547938003168604	14978	13354	0.891574308986514	1.82502398851188	2.4520619968314	0.407820031178747	0.197879487070589	0.36360186248905	0.197879487070589
ECA2281	Accessory	2384	0.301581277672359	0.175010883761428	0.547938003168604	7905	5521	0.698418722327641	1.82502398851188	2.4520619968314	0.407820031178747	0.550393066238117	0.284829145115479	0.550393066238117
ECA2281	Private	12	0.137931034482759	0.175010883761428	0.547938003168604	87	75	0.862068965517241	1.82502398851188	2.4520619968314	0.407820031178747	0.251727446691293	0.351568992395471	0.251727446691293
ECA2336	Accessory	2186	0.27741116751269	0.156270432849483	0.590494989386356	7880	5694	0.72258883248731	1.69349447154362	2.40950501061364	0.415023000821784	0.469794278527201	0.299890985619193	0.469794278527201
ECA2336	Core	1380	0.0921535893155259	0.156270432849483	0.590494989386356	14975	13595	0.907846410684474	1.69349447154362	2.40950501061364	0.415023000821784	0.156061594038744	0.376777141647556	0.156061594038744
ECA2336	Private	19	0.22093023255814	0.156270432849483	0.590494989386356	86	67	0.779069767441861	1.69349447154362	2.40950501061364	0.415023000821784	0.374144127434055	0.323331872733251	0.374144127434055
ECA2367	Accessory	1297	0.171221122112211	0.0987181181445751	0.4085230605907	7575	6278	0.828778877887789	2.44784223087445	2.5914769394093	0.385880339042469	0.419122293523983	0.319809474390577	0.419122293523983
ECA2367	Core	916	0.0612013095476715	0.0987181181445751	0.4085230605907	14967	14051	0.938798690452328	2.44784223087445	2.5914769394093	0.385880339042469	0.14981115009561	0.36226395696437	0.14981115009561
ECA2367	Private	28	0.176100628930818	0.0987181181445751	0.4085230605907	159	131	0.823899371069182	2.44784223087445	2.5914769394093	0.385880339042469	0.431066556380407	0.317926568645053	0.431066556380407
ECA2377	Accessory	1033	0.1304128266633	0.0622347336509311	0.232958391061039	7921	6888	0.8695871733367	4.29261206452093	2.76704160893896	0.361396806166372	0.559811673103159	0.314266027127127	0.559811673103159
ECA2377	Core	392	0.0261124433786304	0.0622347336509311	0.232958391061039	15012	14620	0.97388755662137	4.29261206452093	2.76704160893896	0.361396806166372	0.112090589481229	0.351959852528135	0.112090589481229
ECA2377	Private	12	0.0764331210191083	0.0622347336509311	0.232958391061039	157	145	0.923566878980892	4.29261206452093	2.76704160893896	0.361396806166372	0.328097737415612	0.333774120344739	0.328097737415612
ECA2417	Accessory	1147	0.152202760084926	0.082366435787709	0.311990982474477	7536	6389	0.847797239915074	3.20522084346398	2.68800901752552	0.372022561487	0.487843459056951	0.315399700814815	0.487843459056951
