sc_hdr_ogs	count_inHDR
OG0005375	32
OG0005376	57
OG0005377	58
OG0005378	57
OG0003383	57
OG0003343	58
OG0003319	58
OG0005500	7
OG0005501	11
OG0005502	12
OG0005663	71
OG0005664	71
OG0003635	72
OG0004090	51
OG0005798	14
OG0005799	14
OG0005800	40
OG0005801	40
OG0005802	55
OG0005803	55
OG0003671	55
OG0003125	55
OG0005829	78
OG0005830	74
OG0005831	74
OG0005832	74
OG0005833	74
OG0005834	74
OG0005835	74
OG0005836	74
OG0003215	74
OG0005837	74
OG0003214	74
OG0003453	74
OG0005838	74
OG0006650	28
OG0006651	28
OG0006652	27
OG0007086	86
OG0007094	69
OG0007095	86
OG0007126	68
OG0003412	61
OG0007127	61
OG0007133	29
OG0003509	29
OG0003456	29
OG0007134	82
OG0007135	82
OG0007136	82
OG0003144	82
OG0007137	89
OG0003971	89
OG0003432	87
OG0007138	87
OG0004022	75
OG0007148	60
OG0007149	60
OG0007150	59
OG0003710	59
OG0007151	60
OG0003194	60
OG0007153	66
OG0007163	74
OG0003217	75
OG0003732	47
OG0007164	52
OG0003177	51
OG0007171	63
OG0007213	54
OG0007214	54
OG0007215	54
OG0007216	54
OG0003935	54
OG0007217	54
OG0007218	54
OG0007219	54
OG0007220	54
OG0007221	54
OG0007222	54
OG0007223	54
OG0007224	54
OG0003735	54
OG0007230	51
OG0007231	49
OG0007256	12
OG0007267	74
OG0007302	38
OG0007403	8
OG0004110	60
OG0007419	47
OG0003475	83
OG0004061	77
OG0007517	6
OG0007518	6
OG0008034	14
OG0008035	14
OG0008098	28
OG0008099	28
OG0003976	56
OG0003583	56
OG0003780	56
OG0003169	47
OG0008871	47
OG0008872	45
OG0008873	45
OG0008874	45
OG0008875	45
OG0009011	73
OG0009012	73
OG0009013	73
OG0009650	8
OG0009651	8
OG0003096	24
OG0009668	24
OG0009669	22
OG0012137	20
OG0012138	20
OG0012958	27
OG0013233	12
OG0014524	67
OG0003907	94
OG0014526	94
OG0014701	43
OG0014832	56
OG0014856	16
OG0004152	38
OG0014960	50
OG0015052	36
OG0015053	37
OG0015054	37
OG0015055	37
OG0015056	37
OG0003461	37
OG0015057	37
OG0015058	37
OG0015059	37
OG0003829	37
OG0015060	37
OG0015061	37
OG0015062	37
OG0015063	37
OG0003281	44
OG0003480	44
OG0015233	55
OG0015234	55
OG0015294	12
OG0015295	12
OG0006997	32
OG0006998	32
OG0006999	48
OG0007097	51
OG0007098	51
OG0007099	51
OG0007100	51
OG0003179	72
OG0007139	67
OG0007140	65
OG0007141	65
OG0007142	65
OG0007143	69
OG0004049	70
OG0007144	70
OG0003181	60
OG0007155	59
OG0003180	59
OG0007156	56
OG0007157	65
OG0007172	88
OG0007559	9
OG0007547	24
OG0007532	13
OG0007475	28
OG0007450	24
OG0007449	24
OG0007448	24
OG0007447	24
OG0007446	24
OG0007445	24
OG0003995	24
OG0007431	61
OG0004930	25
OG0004935	6
OG0004946	26
OG0004947	31
OG0004948	19
OG0005180	84
OG0005181	84
OG0008068	34
OG0003255	55
OG0014349	73
OG0007640	64
OG0003541	46
OG0007641	36
OG0007642	40
OG0007643	37
OG0007644	31
OG0007653	77
OG0007654	76
OG0007675	31
OG0007676	77
OG0007677	99
OG0014970	36
OG0014971	32
OG0003178	73
OG0007335	55
OG0014568	45
OG0014544	5
OG0003294	9
OG0014545	5
OG0007647	22
OG0008453	60
OG0008452	60
OG0008451	60
OG0007253	12
OG0007239	37
OG0015326	31
OG0007629	10
OG0008428	7
OG0008447	7
OG0008449	21
OG0008450	21
OG0008475	13
OG0007255	9
OG0007279	21
OG0007330	6
OG0004118	6
OG0007990	6
OG0003886	27
OG0003885	27
OG0003930	15
OG0005797	20
OG0005796	20
OG0005795	20
OG0005794	21
OG0005793	21
OG0005792	19
OG0005791	19
OG0005790	19
OG0005789	18
OG0005788	18
OG0005787	18
OG0005786	18
OG0005785	17
OG0005784	12
OG0005783	12
OG0005782	12
OG0005781	12
OG0005780	12
OG0003667	20
OG0003529	20
OG0005779	20
OG0003357	21
OG0005778	21
OG0003356	21
OG0003358	21
OG0003666	20
OG0005777	20
OG0004041	2
OG0005393	52
OG0005392	52
OG0005391	52
OG0005390	52
OG0005389	52
OG0005388	52
OG0005387	78
OG0003652	78
OG0003653	51
OG0003229	51
OG0003320	52
OG0005386	39
OG0003290	35
OG0005381	54
OG0005379	56
OG0005370	24
OG0005326	29
OG0005325	29
OG0005245	79
OG0005244	79
OG0003628	79
OG0005243	82
OG0003462	33
OG0008861	33
OG0008862	25
OG0008863	11
OG0008864	11
OG0008865	17
OG0008866	17
OG0008867	17
OG0008868	17
OG0008869	17
OG0008870	17
OG0009621	23
OG0009620	23
OG0009619	23
OG0009618	23
OG0009617	5
OG0003393	25
OG0004408	25
OG0004077	18
OG0004376	5
OG0004182	1
OG0004181	1
OG0007649	21
OG0007648	38
OG0005084	28
OG0005083	29
OG0007082	65
OG0003095	65
OG0007084	68
OG0007085	67
OG0003933	57
OG0015026	32
OG0015025	7
OG0014972	29
OG0013074	30
OG0008177	44
OG0008178	47
OG0003741	57
OG0004036	57
OG0015232	55
OG0003963	37
OG0015225	53
OG0014968	18
OG0003201	16
OG0014969	18
OG0015305	16
OG0003540	6
OG0007575	10
OG0007572	3
OG0007571	3
OG0007499	33
OG0004501	39
OG0004421	37
OG0003577	17
OG0004386	22
OG0004385	22
OG0003174	23
OG0004384	20
OG0004370	22
OG0004369	18
OG0004353	11
OG0004352	18
OG0004351	18
OG0004341	35
OG0004339	23
OG0003415	37
OG0004263	36
OG0004262	36
OG0004261	35
OG0004254	37
OG0004250	4
OG0004249	4
OG0004248	10
OG0004229	3
OG0004228	5
OG0004208	35
OG0006024	19
OG0006023	19
OG0005811	45
OG0005810	45
OG0005809	45
OG0005808	45
OG0005807	45
OG0008133	34
OG0008134	20
OG0014353	27
OG0014352	27
OG0014351	28
OG0014350	28
OG0004790	37
OG0004791	36
OG0004792	34
OG0004793	34
OG0004794	6
OG0004866	27
OG0004867	25
OG0004868	23
OG0004880	29
OG0004884	49
OG0004885	49
OG0004886	49
OG0004889	40
OG0004890	48
OG0004891	37
OG0004895	48
OG0004896	47
OG0004931	51
OG0004945	16
OG0004952	28
OG0004953	28
OG0005029	24
OG0005030	24
OG0005031	24
OG0005032	24
OG0005033	24
OG0005034	24
OG0005035	24
OG0005042	21
OG0005120	12
OG0004082	19
OG0005165	25
OG0005166	25
OG0005167	47
OG0005182	21
OG0012347	46
OG0012348	41
OG0012349	27
OG0012370	51
OG0012371	23
OG0012372	23
OG0012373	25
OG0012451	49
OG0012452	49
OG0012453	49
OG0012454	28
OG0012455	28
OG0012456	28
OG0012567	41
OG0012568	34
OG0012573	52
OG0012574	52
OG0012641	17
OG0012663	18
OG0012757	14
OG0003542	40
OG0012690	23
OG0012691	23
OG0015504	9
OG0015513	48
OG0015514	49
OG0015515	49
OG0015516	47
OG0015517	47
OG0004001	20
OG0012145	41
OG0012146	43
OG0007546	35
OG0007529	37
OG0003744	37
OG0007528	38
OG0003743	38
OG0007527	38
OG0007500	49
OG0007472	84
OG0007468	44
OG0007467	43
OG0007454	6
OG0007438	24
OG0007432	43
OG0007433	13
OG0007434	13
OG0003566	5
OG0014528	49
OG0014529	50
OG0014530	50
OG0014561	10
OG0014562	10
OG0014586	27
OG0014587	22
OG0014588	13
OG0008039	50
OG0008033	51
OG0007993	21
OG0007992	18
OG0007967	50
OG0007966	51
OG0007754	28
OG0007753	29
OG0007752	32
OG0007751	25
OG0007750	15
OG0007749	11
OG0003315	25
OG0007722	25
OG0007721	25
OG0003316	25
OG0007720	25
OG0007719	25
OG0007718	28
OG0007717	28
OG0007716	28
OG0007715	25
OG0012030	24
OG0012031	24
OG0012032	24
OG0012033	24
OG0012034	24
OG0012043	48
OG0003952	48
OG0012044	48
OG0012063	45
OG0012064	45
OG0012065	45
OG0012068	48
OG0012069	48
OG0012070	48
OG0012117	26
OG0003396	26
OG0003395	26
OG0012118	20
OG0003709	21
OG0006832	19
OG0006833	20
OG0006834	20
OG0006835	20
OG0006836	20
OG0006837	20
OG0006838	20
OG0006839	20
OG0006844	29
OG0006849	29
OG0006871	19
OG0006872	19
OG0006984	19
OG0006985	19
OG0006986	19
OG0003724	24
OG0006987	24
OG0006988	34
OG0006989	39
OG0006990	11
OG0006991	10
OG0006992	14
OG0004099	21
OG0006993	18
OG0006994	18
OG0006995	18
OG0006996	19
OG0004101	22
OG0007106	41
OG0007107	41
OG0007108	41
OG0007109	41
OG0007110	41
OG0007117	44
OG0007118	44
OG0007119	44
OG0007120	44
OG0007123	39
OG0007124	39
OG0007125	39
OG0007129	45
OG0007130	45
OG0003413	40
OG0007158	56
OG0007159	57
OG0004149	28
OG0014527	29
OG0007632	29
OG0007665	9
OG0007666	10
OG0014932	15
OG0014933	19
OG0014951	15
OG0014964	22
OG0014988	6
OG0014989	2
OG0014990	2
OG0015007	21
OG0015008	21
OG0015009	21
OG0015027	23
OG0014844	33
OG0014845	33
OG0014846	33
OG0014855	23
OG0014864	21
OG0014865	21
OG0004018	21
OG0014905	21
OG0015524	14
OG0015523	14
OG0015522	17
OG0015521	16
OG0008570	49
OG0008569	49
OG0008553	25
OG0008544	28
OG0003549	31
OG0003499	27
OG0008543	27
OG0008542	17
OG0008541	33
OG0008540	34
OG0008538	5
OG0008534	44
OG0008495	29
OG0008494	25
OG0008459	33
OG0008458	40
OG0008454	10
OG0003483	10
OG0008441	13
OG0008440	41
OG0003308	10
OG0008600	36
OG0008601	42
OG0008602	42
OG0008603	41
OG0008611	34
OG0008621	25
OG0008622	44
OG0008623	31
OG0008624	32
OG0008625	32
OG0008633	37
OG0004045	34
OG0008644	23
OG0008645	25
OG0008649	48
OG0008650	48
OG0008651	48
OG0008652	23
OG0008653	23
OG0008654	27
OG0008655	5
OG0008663	21
OG0003116	22
OG0008664	22
OG0008665	22
OG0009010	28
OG0009002	23
OG0008942	24
OG0008941	24
OG0008921	53
OG0003797	35
OG0004023	35
OG0003923	29
OG0005339	29
OG0003486	30
OG0005349	26
OG0005350	26
OG0005351	26
OG0005364	42
OG0003093	36
OG0003094	41
OG0003649	41
OG0003648	41
OG0005380	40
OG0005413	36
OG0005414	36
OG0005415	27
OG0005449	20
OG0005450	13
OG0005451	13
OG0005459	25
OG0005460	25
OG0003656	3
OG0005464	15
OG0005465	15
OG0005466	15
OG0005467	15
OG0005472	3
OG0003113	3
OG0003115	17
OG0003111	29
OG0003109	29
OG0003112	29
OG0005473	16
OG0005474	16
OG0005476	45
OG0005477	49
OG0008835	26
OG0008834	26
OG0008807	26
OG0008806	26
OG0003438	42
OG0007233	39
OG0007234	36
OG0007250	29
OG0003182	29
OG0003183	36
OG0003711	6
OG0015315	16
OG0015316	14
OG0015317	12
OG0015337	7
OG0015338	7
OG0015380	22
OG0010738	18
OG0005659	21
OG0004010	21
OG0005660	21
OG0005661	39
OG0005662	36
OG0005665	34
OG0003664	43
OG0005729	43
OG0005730	43
OG0005731	43
OG0014719	22
OG0014720	22
OG0013855	24
OG0013856	21
OG0013857	21
OG0003715	21
OG0013858	21
OG0005324	22
OG0003523	23
OG0003982	24
OG0005323	26
OG0005322	52
OG0005321	40
OG0005320	40
OG0005319	40
OG0005318	40
OG0005299	64
OG0005298	64
OG0005280	69
OG0005279	77
OG0005246	48
OG0005234	50
OG0005233	50
OG0003164	50
OG0005232	50
OG0013149	42
OG0013150	42
OG0013151	42
OG0013152	42
OG0013153	28
OG0013228	36
OG0013232	24
OG0013231	24
OG0013230	24
OG0013229	24
OG0003705	24
OG0015277	45
OG0015276	45
OG0015275	47
OG0015274	34
OG0014702	40
OG0014703	39
OG0014704	54
OG0014705	36
OG0014706	36
OG0003310	34
OG0010709	22
OG0010710	22
OG0010712	17
OG0010713	17
OG0010714	20
OG0010715	20
OG0010716	20
OG0015466	44
OG0015465	44
OG0015464	44
OG0015463	44
OG0015462	44
OG0015461	25
OG0015460	25
OG0015457	44
OG0015456	44
OG0015455	44
OG0015454	44
OG0015453	44
OG0015452	44
OG0015451	44
OG0015450	44
OG0015449	44
OG0015448	44
OG0015447	29
OG0015446	29
OG0015445	29
OG0015444	29
OG0015443	29
OG0015442	29
OG0015441	29
OG0015440	29
OG0015439	29
OG0015438	29
OG0015437	29
OG0015436	29
OG0015435	29
OG0015434	29
OG0015433	31
OG0015432	29
OG0015431	29
OG0015430	29
OG0003915	29
OG0003213	29
OG0015429	29
OG0015428	29
OG0003257	29
OG0015427	29
OG0003507	29
OG0015426	29
OG0015425	29
OG0003538	29
OG0015424	29
OG0015423	8
OG0015422	8
OG0005294	9
OG0005385	20
OG0015360	15
OG0003745	13
OG0004219	14
OG0004252	1
OG0004253	1
OG0007498	16
OG0007682	28
OG0003750	28
OG0014936	30
OG0014943	9
OG0008132	22
OG0012611	34
OG0012612	34
OG0012613	7
OG0012817	20
OG0012818	20
OG0005164	21
OG0003567	4
OG0003905	4
OG0003906	4
OG0014559	8
OG0014560	6
OG0008042	36
OG0011934	18
OG0007259	21
OG0005426	17
OG0005427	17
OG0005428	2
OG0005495	14
OG0008860	8
OG0014906	11
OG0014907	19
OG0015398	10
OG0015399	8
OG0015400	2
OG0009615	15
OG0009614	1
OG0008582	15
OG0008581	16
OG0008580	16
OG0003944	10
OG0008492	29
OG0008435	10
OG0009014	4
OG0008648	15
OG0007617	26
OG0007645	11
OG0007273	33
OG0008635	14
OG0008634	14
OG0003515	4
OG0013098	4
OG0013099	5
OG0004144	18
OG0004382	5
OG0004381	5
OG0004377	2
OG0007173	58
OG0003922	55
OG0007145	55
OG0003730	38
OG0003729	38
OG0007128	38
OG0006653	10
OG0006649	21
OG0006017	27
OG0003530	18
OG0005845	18
OG0003299	18
OG0005844	18
OG0005843	17
OG0005842	16
OG0015269	20
OG0003891	9
OG0011975	23
OG0012062	20
OG0007536	4
OG0007535	4
OG0007534	4
OG0007533	5
OG0007512	12
OG0003452	31
OG0007469	23
OG0005215	25
OG0005214	25
OG0005213	25
OG0005170	26
OG0005169	26
OG0005168	26
OG0005162	35
OG0005161	35
OG0003338	35
OG0003337	35
OG0003336	33
OG0005160	33
OG0005131	17
OG0005130	17
OG0005129	11
OG0004951	9
OG0004801	26
OG0004772	27
OG0008917	26
OG0008918	26
OG0008919	26
OG0008920	29
OG0008646	25
OG0011039	20
OG0011038	20
OG0011037	20
OG0012368	28
OG0012369	28
OG0012374	24
OG0012375	24
OG0012517	4
OG0012518	4
OG0007864	23
OG0007865	23
OG0007866	23
OG0007934	41
OG0007935	41
OG0003546	41
OG0008036	24
OG0008038	12
OG0014534	23
OG0014533	30
OG0014961	12
OG0014955	4
OG0014954	4
OG0005274	13
OG0003108	31
OG0003981	51
OG0005300	49
OG0005301	49
OG0003633	34
OG0005327	23
OG0005478	25
OG0004200	14
OG0004201	13
OG0004210	3
OG0004211	3
OG0004212	3
OG0004223	10
OG0004224	10
OG0004225	9
OG0004235	2
OG0008183	8
OG0015308	11
OG0014347	18
OG0014348	19
OG0003287	24
OG0003286	24
OG0003285	24
OG0012959	23
OG0014594	13
OG0003959	13
OG0014593	12
OG0007000	13
OG0004406	6
OG0014847	7
OG0014831	20
OG0014830	17
OG0014821	8
OG0007428	25
OG0007523	17
OG0013912	3
OG0013913	3
OG0013914	3
OG0013915	3
OG0013916	3
OG0013917	3
OG0008088	10
OG0003665	1
OG0005475	16
OG0004209	5
OG0008463	19
OG0007266	26
OG0007331	20
OG0015469	5
OG0015468	5
OG0015467	5
OG0009623	7
OG0009622	7
OG0007249	3
OG0007248	3
OG0007247	3
OG0007246	3
OG0004869	15
OG0012756	10
OG0003909	5
OG0014592	4
OG0007965	3
OG0007759	24
OG0015327	4
OG0009670	8
OG0008437	15
OG0008923	5
OG0008922	5
OG0015525	10
OG0004347	20
OG0015314	4
OG0015313	4
OG0014581	22
OG0014580	22
OG0014570	11
OG0014569	10
OG0014912	10
OG0014911	10
OG0008085	7
OG0008086	7
OG0008136	6
OG0008137	5
OG0004019	41
OG0005430	2
OG0005431	2
OG0012147	9
OG0012148	14
OG0012149	15
OG0006643	13
OG0006644	13
OG0006645	13
OG0006646	13
OG0003314	13
OG0007569	2
OG0007476	4
OG0007242	8
OG0015006	11
OG0014963	10
OG0008616	8
OG0008615	9
OG0008614	9
OG0008613	9
OG0008556	9
OG0008557	9
OG0014595	6
OG0008015	10
OG0004051	17
OG0003650	16
OG0003651	16
OG0008421	3
OG0008916	11
OG0007261	17
OG0007959	2
OG0004199	1
OG0007244	28
OG0003306	20
OG0007257	22
OG0007519	5
OG0014942	13
OG0014941	12
OG0005383	13
OG0005384	14
OG0003968	9
OG0005804	13
OG0003505	13
OG0005805	13
OG0005806	13
OG0014973	15
OG0014974	15
OG0007968	13
OG0004943	3
OG0004942	3
OG0003972	7
OG0009630	6
OG0007678	6
OG0008414	1
OG0007755	19
OG0007460	3
OG0007459	3
OG0007458	3
OG0007457	3
OG0007456	3
OG0003474	3
OG0012652	1
OG0013076	9
OG0007504	33
OG0007474	22
OG0003365	25
OG0003536	25
OG0007162	25
OG0007161	26
OG0007160	41
OG0004103	39
OG0007152	30
OG0003360	30
OG0007147	24
OG0003321	27
OG0007146	27
OG0004039	19
OG0007132	22
OG0007131	22
OG0007122	18
OG0007121	17
OG0003990	17
OG0004024	17
OG0007116	16
OG0007115	18
OG0007114	18
OG0007113	18
OG0007112	18
OG0007111	18
OG0007105	18
OG0003408	18
OG0007104	18
OG0007103	18
OG0007102	18
OG0003498	18
OG0007101	18
OG0003927	18
OG0003196	25
OG0003440	24
OG0007096	17
OG0007093	18
OG0007092	17
OG0007091	20
OG0007090	20
OG0007089	20
OG0007088	21
OG0007087	21
OG0007080	24
OG0007079	24
OG0003970	24
OG0007078	24
OG0007077	17
OG0007076	24
OG0003364	24
OG0007075	24
OG0003363	24
OG0007074	24
OG0007073	24
OG0003296	24
OG0007072	24
OG0005302	33
OG0014624	3
OG0014623	11
OG0007208	28
OG0007209	28
OG0007210	28
OG0007211	28
OG0007212	28
OG0007225	28
OG0007226	22
OG0007227	22
OG0003736	19
OG0007232	23
OG0007235	21
OG0007236	19
OG0007237	19
OG0007238	19
OG0007328	17
OG0007329	13
OG0007332	14
OG0007333	14
OG0007334	14
OG0007336	14
OG0007337	14
OG0008071	3
OG0007688	20
OG0007686	21
OG0008484	5
OG0008485	5
OG0008486	5
OG0008487	6
OG0014523	26
OG0003537	26
OG0014522	26
OG0014517	33
OG0014516	33
OG0003249	16
OG0007170	32
OG0007169	18
OG0007168	18
OG0007167	18
OG0007166	17
OG0007165	14
OG0003195	27
OG0013061	10
OG0013060	10
OG0004143	10
OG0008457	7
OG0003323	16
OG0007508	34
OG0014532	7
OG0003322	4
OG0003934	4
OG0007036	3
OG0007035	3
OG0007034	3
OG0006983	11
OG0006982	11
OG0006981	11
OG0006980	11
OG0006979	11
OG0006978	11
OG0006907	6
OG0006906	7
OG0006905	7
OG0006904	8
OG0006903	8
OG0006902	8
OG0006901	8
OG0006900	8
OG0006899	8
OG0006898	8
OG0003284	8
OG0006897	8
OG0006896	8
OG0006895	8
OG0003435	8
OG0006894	8
OG0006893	8
OG0006892	8
OG0006891	8
OG0006890	8
OG0006889	8
OG0006888	8
OG0006887	8
OG0003714	8
OG0003200	8
OG0006886	8
OG0006885	8
OG0006884	8
OG0006883	8
OG0006882	8
OG0006881	8
OG0006880	8
OG0003712	7
OG0006879	7
OG0006878	7
OG0006877	7
OG0006876	7
OG0004095	8
OG0006875	7
OG0006874	7
OG0006866	6
OG0006865	6
OG0003535	10
OG0006864	10
OG0006863	10
OG0006862	9
OG0006861	14
OG0006860	14
OG0006859	14
OG0006858	10
OG0004003	9
OG0006857	9
OG0006856	9
OG0006855	10
OG0006854	6
OG0006853	6
OG0006852	6
OG0006848	11
OG0006847	10
OG0006841	1
OG0006831	4
OG0006788	6
OG0006782	6
OG0006781	8
OG0006780	8
OG0003533	8
OG0006778	9
OG0006777	9
OG0003706	8
OG0006776	7
OG0006775	7
OG0006774	7
OG0006773	7
OG0006772	7
OG0006771	7
OG0006770	6
OG0006769	6
OG0006768	6
OG0006767	2
OG0006766	2
OG0006765	2
OG0006764	2
OG0006648	13
OG0006647	13
OG0006642	8
OG0006641	13
OG0006640	13
OG0006639	13
OG0006638	11
OG0006637	11
OG0006026	2
OG0006025	2
OG0006018	12
OG0005828	10
OG0005827	10
OG0005826	9
OG0005825	9
OG0005824	9
OG0005823	8
OG0005822	9
OG0003674	10
OG0005821	9
OG0005820	9
OG0005819	10
OG0005818	9
OG0005817	11
OG0005816	11
OG0005815	11
OG0005814	10
OG0005813	10
OG0005812	10
OG0004028	10
OG0005776	9
OG0005658	6
OG0003352	6
OG0005657	6
OG0005522	7
OG0005521	7
OG0005520	7
OG0005519	7
OG0005518	7
OG0005517	7
OG0005516	8
OG0003254	7
OG0005515	7
OG0005496	5
OG0005494	3
OG0005493	3
OG0005492	3
OG0005491	3
OG0005490	3
OG0005489	3
OG0005488	4
OG0005487	4
OG0005486	4
OG0005485	4
OG0005484	4
OG0003199	9
OG0005483	9
OG0003460	9
OG0005482	9
OG0005481	9
OG0003193	10
OG0005458	9
OG0005457	9
OG0005421	9
OG0004086	11
OG0005418	11
OG0005417	11
OG0005412	9
OG0005411	9
OG0005410	9
OG0005409	9
OG0005408	12
OG0005407	12
OG0005374	14
OG0005373	14
OG0005372	14
OG0005371	14
OG0005363	14
OG0003482	14
OG0005356	3
OG0003439	3
OG0005355	3
OG0005354	3
OG0005352	22
OG0005348	13
OG0005347	13
OG0003218	13
OG0003219	12
OG0003220	12
OG0003526	12
OG0005346	12
OG0005345	12
OG0003643	12
OG0005344	12
OG0003525	12
OG0005343	12
OG0005341	12
OG0005340	12
OG0005337	30
OG0004020	29
OG0004009	7
OG0005336	7
OG0005335	7
OG0005334	7
OG0005333	7
OG0003139	7
OG0005332	8
OG0005331	9
OG0005330	9
OG0005329	10
OG0005328	10
OG0003131	27
OG0003504	12
OG0004085	12
OG0003121	12
OG0005317	12
OG0003522	12
OG0005316	12
OG0005315	11
OG0005314	11
OG0005313	11
OG0003426	10
OG0005312	11
OG0005311	11
OG0003637	10
OG0003638	11
OG0005310	13
OG0005309	16
OG0005308	14
OG0005307	12
OG0005304	8
OG0005303	3
OG0005295	10
OG0003407	8
OG0003107	10
OG0005292	11
OG0003297	11
OG0005291	7
OG0005289	12
OG0005288	11
OG0003450	10
OG0003980	4
OG0003304	4
OG0005284	4
OG0005263	8
OG0005262	8
OG0005261	7
OG0005257	15
OG0003629	5
OG0003630	5
OG0005248	7
OG0005247	7
OG0005242	6
OG0005241	6
OG0005240	6
OG0005239	2
OG0005238	2
OG0005237	2
OG0005236	2
OG0003340	7
OG0014924	4
OG0014923	4
OG0014872	7
OG0014871	7
OG0014717	3
OG0014716	3
OG0003772	13
OG0014665	11
OG0014664	11
OG0014663	11
OG0014662	11
OG0014661	11
OG0014660	11
OG0004410	6
OG0004409	6
OG0003576	18
OG0003132	16
OG0004407	13
OG0004391	1
OG0004156	2
OG0015296	2
OG0013118	1
OG0013119	1
OG0012929	6
OG0012928	6
OG0012563	9
OG0012562	9
OG0012561	8
OG0012560	8
OG0012367	8
OG0010975	3
OG0010976	3
OG0010977	3
OG0005133	4
OG0005090	3
OG0005072	3
OG0005071	3
OG0004810	6
OG0004809	7
OG0004747	11
OG0007406	11
OG0007407	11
OG0007408	11
OG0007409	11
OG0007410	11
OG0007411	8
OG0007412	8
OG0007413	8
OG0007414	8
OG0007415	8
OG0007416	8
OG0007470	20
OG0007473	12
OG0007520	2
OG0007530	5
OG0007531	5
OG0003292	2
OG0007582	5
OG0007583	5
OG0007587	4
OG0007588	4
OG0007589	4
OG0007590	4
OG0007591	4
OG0012163	6
OG0012151	6
OG0012150	5
OG0012096	4
OG0012095	4
OG0012094	4
OG0011881	2
OG0011870	3
OG0011869	3
OG0011868	3
OG0011867	3
OG0011866	3
OG0011865	3
OG0011864	3
OG0008021	3
OG0008022	3
OG0008023	3
OG0008024	3
OG0008025	3
OG0008047	6
OG0008048	12
OG0003748	6
OG0014622	5
OG0014621	7
OG0014620	18
OG0014619	18
OG0014618	18
OG0014617	18
OG0014567	8
OG0003884	5
OG0014566	5
OG0014563	5
OG0014553	6
OG0014552	6
OG0014486	3
OG0008518	7
OG0008517	4
OG0008516	5
OG0008515	5
OG0008514	6
OG0003325	6
OG0008497	2
OG0008496	5
OG0008490	5
OG0008489	1
OG0008488	1
OG0008474	4
OG0008473	5
OG0008472	5
OG0008427	4
OG0008426	4
OG0008425	3
OG0008424	3
OG0008423	4
OG0008422	3
OG0007646	2
OG0007668	3
OG0007669	3
OG0007670	3
OG0007671	7
OG0007672	7
OG0007673	3
OG0014944	4
OG0014959	3
OG0014984	4
OG0014985	4
OG0014986	4
OG0014987	5
OG0007316	3
OG0007258	16
OG0007260	16
OG0007262	17
OG0007263	17
OG0007264	17
OG0003198	21
OG0007265	21
OG0003973	19
OG0004071	2
OG0007268	15
OG0007269	16
OG0007270	16
OG0007272	16
OG0007271	16
OG0007274	16
OG0007275	16
OG0007276	16
OG0007277	16
OG0007278	16
OG0007280	17
OG0007285	17
OG0007284	17
OG0007283	17
OG0003740	17
OG0003739	17
OG0007282	17
OG0007281	17
OG0004105	17
OG0007286	17
OG0007287	17
OG0007288	17
OG0007289	17
OG0007290	17
OG0007291	17
OG0004106	17
OG0007292	17
OG0007293	17
OG0007294	17
OG0007295	17
OG0007298	17
OG0007299	17
OG0007300	17
OG0003733	17
OG0003307	16
OG0007303	16
OG0007304	16
OG0007305	16
OG0007306	16
OG0007307	16
OG0007308	16
OG0007309	16
