sc_hdr_ogs	count_inHDR
OG0015243	68
OG0003571	62
OG0003987	62
OG0003289	56
OG0003288	56
OG0015242	56
OG0015241	56
OG0003570	55
OG0003979	55
OG0003964	55
OG0015240	55
OG0015239	55
OG0015238	55
OG0015237	55
OG0015236	55
OG0015235	56
OG0003133	88
OG0015231	68
OG0003207	68
OG0015230	67
OG0015229	66
OG0015228	66
OG0003418	66
OG0015227	66
OG0015224	51
OG0007991	81
OG0008004	80
OG0008005	80
OG0008006	80
OG0008028	76
OG0008029	76
OG0003204	81
OG0003205	82
OG0003203	60
OG0008049	79
OG0004346	48
OG0004345	38
OG0004344	35
OG0004343	24
OG0004342	25
OG0008547	15
OG0008546	53
OG0008545	56
OG0008537	76
OG0008536	116
OG0008535	118
OG0008520	89
OG0008433	49
OG0008074	6
OG0008073	6
OG0003761	113
OG0008067	102
OG0003489	76
OG0008062	30
OG0008061	30
OG0003231	30
OG0007240	36
OG0007241	36
OG0007251	33
OG0007252	36
OG0003738	25
OG0007296	77
OG0007297	63
OG0007478	15
OG0007479	9
OG0007480	8
OG0007481	8
OG0007482	8
OG0007505	27
OG0007506	16
OG0007507	17
OG0014953	29
OG0014952	29
OG0014950	79
OG0014940	34
OG0014938	48
OG0015011	112
OG0015010	83
OG0007581	106
OG0007579	118
OG0007578	67
OG0007577	88
OG0007576	87
OG0003251	86
OG0003250	86
OG0007574	88
OG0007573	88
OG0007544	117
OG0007543	98
OG0003746	95
OG0007542	95
OG0003425	69
OG0007593	63
OG0007594	66
OG0007595	66
OG0003293	53
OG0003892	28
OG0004005	10
OG0004378	62
OG0004387	38
OG0004388	38
OG0004422	19
OG0004423	19
OG0004876	11
OG0004877	11
OG0003616	107
OG0004949	103
OG0005293	18
OG0003485	18
OG0003105	15
OG0003104	15
OG0003188	36
OG0005296	22
OG0005297	74
OG0005305	15
OG0005306	17
OG0003639	64
OG0003138	47
OG0003641	47
OG0005338	54
OG0003645	24
OG0005360	24
OG0003647	24
OG0003646	25
OG0003417	29
OG0005361	29
OG0005362	25
OG0005365	43
OG0005366	22
OG0005367	22
OG0005368	32
OG0005369	32
